model,configuration,tvl,trade_fraction,gross_input,fee_paid,net_input,output,execution_price,slippage
Curve StableSwap,A=100,10000000,0.05,500000.0,200.0,499800.0,499300.95754193235,0.9986019150838648,0.0013980997964631037
Curve StableSwap,A=100,10000000,0.1,1000000.0,400.0,999600.0,997545.1410470842,0.9975451410470842,0.002454873817496428
Curve StableSwap,A=100,10000000,0.2,2000000.0,800.0,1999200.0,1989869.7308428036,0.9949348654214017,0.0050651494042828205
Curve StableSwap,A=1000,10000000,0.001,10000.0,4.0,9996.0,9995.980035920627,0.9995980035920627,0.0004020113031080186
Curve StableSwap,A=1000,10000000,0.005,50000.0,20.0,49980.0,49979.500854230486,0.9995900170846097,0.0004099978104420421
Curve StableSwap,A=1000,10000000,0.01,100000.0,40.0,99960.0,99958.00283935666,0.9995800283935666,0.0004199865013362336
Curve StableSwap,A=1000,10000000,0.02,200000.0,80.0,199920.0,199912.00194322132,0.9995600097161066,0.00044000517849807075
Curve StableSwap,A=1000,10000000,0.05,500000.0,200.0,499800.0,499749.5923238322,0.9994991846476644,0.0005008302460338676
Curve StableSwap,A=1000,10000000,0.1,1000000.0,400.0,999600.0,999392.1108760843,0.9993921108760843,0.0006079040160185123
Curve StableSwap,A=1000,10000000,0.2,2000000.0,800.0,1999200.0,1998250.4084827057,0.9991252042413529,0.0008748106467726391
Balancer Weighted,50/50,10000000,0.001,10000.0,30.0,9970.0,9950.159382192125,0.9950159382192125,0.004984061780787474
Balancer Weighted,50/50,10000000,0.005,50000.0,150.0,49850.0,49357.9017198531,0.987158034397062,0.012841965602938044
Balancer Weighted,50/50,10000000,0.01,100000.0,300.0,99700.0,97750.84808910316,0.9775084808910316,0.022491519108968405
Balancer Weighted,50/50,10000000,0.02,200000.0,600.0,199400.0,191752.8945647573,0.9587644728237865,0.04123552717621348
Balancer Weighted,50/50,10000000,0.05,500000.0,1500.0,498500.0,453305.4469400743,0.9066108938801487,0.0933891061198513
Balancer Weighted,50/50,10000000,0.1,1000000.0,3000.0,997000.0,831248.9578122395,0.8312489578122395,0.1687510421877605
Balancer Weighted,50/50,10000000,0.2,2000000.0,6000.0,1994000.0,1425507.5779239347,0.7127537889619673,0.2872462110380327
Balancer Weighted,80/20,10000000,0.001,10000.0,30.0,9970.0,9939.014474211304,0.9939014474211304,0.006098552578869598
Balancer Weighted,80/20,10000000,0.005,50000.0,150.0,49850.0,49083.00397343313,0.9816600794686626,0.018339920531337373
Balancer Weighted,80/20,10000000,0.01,100000.0,300.0,99700.0,96669.49034025917,0.9666949034025918,0.03330509659740821
Balancer Weighted,80/20,10000000,0.02,200000.0,600.0,199400.0,187568.3008053295,0.9378415040266475,0.062158495973352546
Balancer Weighted,80/20,10000000,0.05,500000.0,1500.0,498500.0,429561.8797135392,0.8591237594270784,0.14087624057292158
Balancer Weighted,80/20,10000000,0.1,1000000.0,3000.0,997000.0,749743.6709403169,0.7497436709403169,0.2502563290596831
Balancer Weighted,80/20,10000000,0.2,2000000.0,6000.0,1994000.0,1178830.9673373364,0.5894154836686682,0.41058451633133175
